dataset,A,Z,species,nr,l,j,energy_MeV,orbital,state_type
Seminole synthetic,48,20,neutron,0,3,3.5,-8.713333762673626,,
Seminole synthetic,48,20,proton,0,0,0.5,-39.85090642801549,,
Seminole synthetic,48,20,proton,1,0,0.5,-16.802123489662257,,
Seminole synthetic,48,20,proton,0,1,0.5,-28.57597873491763,,
Seminole synthetic,48,20,proton,1,1,0.5,-3.899699024453605,,
Seminole synthetic,48,20,proton,0,1,1.5,-30.959600032105417,,
Seminole synthetic,48,20,proton,1,1,1.5,-5.896103786327578,,
Seminole synthetic,48,20,proton,0,2,1.5,-16.396950579167747,,
Seminole synthetic,48,20,proton,0,2,2.5,-21.07574598727568,,
Seminole synthetic,48,20,proton,0,3,2.5,-3.5187850520391857,,
Seminole synthetic,48,20,proton,0,3,3.5,-10.432883193483,,
Seminole synthetic,16,8,neutron,0,0,0.5,-36.21207763956755,,
Seminole synthetic,16,8,neutron,1,0,0.5,-5.5429439933074285,,
Seminole synthetic,16,8,neutron,0,1,0.5,-16.930453160147938,,
Seminole synthetic,16,8,neutron,0,1,1.5,-22.116044362219792,,
Seminole synthetic,16,8,neutron,0,2,1.5,-0.751473372767085,,
Seminole synthetic,16,8,neutron,0,2,2.5,-7.935217734093312,,
Seminole synthetic,16,8,proton,0,0,0.5,-32.09290423385876,,
Seminole synthetic,16,8,proton,1,0,0.5,-2.5563306045502205,,
Seminole synthetic,16,8,proton,0,1,0.5,-13.241182347831552,,
Seminole synthetic,16,8,proton,0,1,1.5,-18.401533496322532,,
Seminole synthetic,16,8,proton,0,2,2.5,-4.666264028064707,,
Seminole synthetic,90,40,neutron,0,0,0.5,-41.359001615239734,,
Seminole synthetic,90,40,neutron,1,0,0.5,-24.475383733001234,,
Seminole synthetic,90,40,neutron,2,0,0.5,-5.260822286512085,,
Seminole synthetic,90,40,neutron,0,1,0.5,-33.67353563486904,,
Seminole synthetic,90,40,neutron,1,1,0.5,-14.033269209382906,,
Seminole synthetic,90,40,neutron,0,1,1.5,-35.040670810434946,,
Seminole synthetic,90,40,neutron,1,1,1.5,-15.582776134806648,,
Seminole synthetic,90,40,neutron,0,2,1.5,-24.9445919373637,,
Seminole synthetic,90,40,neutron,1,2,1.5,-4.525980687359876,,
Seminole synthetic,90,40,neutron,0,2,2.5,-27.88301124490913,,
Seminole synthetic,90,40,neutron,1,2,2.5,-6.8385118584772195,,
Seminole synthetic,90,40,neutron,0,3,2.5,-15.222679476196856,,
Seminole synthetic,90,40,neutron,0,3,3.5,-20.01343331376059,,
Seminole synthetic,90,40,neutron,0,4,3.5,-4.919029888977607,,
Seminole synthetic,90,40,neutron,0,4,4.5,-11.532625067949873,,
Seminole synthetic,90,40,neutron,0,5,5.5,-2.568600711505752,,
Seminole synthetic,90,40,proton,0,0,0.5,-35.66182481528479,,
Seminole synthetic,90,40,proton,1,0,0.5,-18.717419444068636,,
Seminole synthetic,90,40,proton,0,1,0.5,-28.235686060712016,,
Seminole synthetic,90,40,proton,1,1,0.5,-8.194513227386002,,
Seminole synthetic,90,40,proton,0,1,1.5,-29.635299394512206,,
Seminole synthetic,90,40,proton,1,1,1.5,-9.7388414347319,,
Seminole synthetic,90,40,proton,0,2,1.5,-19.631451519804997,,
Seminole synthetic,90,40,proton,0,2,2.5,-22.598192052073166,,
Seminole synthetic,90,40,proton,1,2,2.5,-0.8518476271400272,,
Seminole synthetic,90,40,proton,0,3,2.5,-9.915576665967919,,
Seminole synthetic,90,40,proton,0,3,3.5,-14.729950924911224,,
Seminole synthetic,90,40,proton,0,4,4.5,-6.159806541298313,,
Wahlborn synthetic,12,6,neutron,0,0,0.5,-27.23289586357783,,
Wahlborn synthetic,12,6,neutron,1,0,0.5,-0.6983004456452088,,
Wahlborn synthetic,12,6,neutron,0,1,0.5,-7.0290244961576045,,
Wahlborn synthetic,12,6,neutron,0,1,1.5,-13.78124550837073,,
Wahlborn synthetic,12,6,neutron,0,2,2.5,-1.252682475224107,,
Wahlborn synthetic,12,6,proton,0,0,0.5,-24.11945850515288,,
Wahlborn synthetic,12,6,proton,0,1,0.5,-4.42219794592585,,
Wahlborn synthetic,12,6,proton,0,1,1.5,-11.08288463460247,,
Wahlborn synthetic,16,8,neutron,0,0,0.5,-30.38487407684111,,
Wahlborn synthetic,16,8,neutron,1,0,0.5,-2.9676023681362973,,
Wahlborn synthetic,16,8,neutron,0,1,0.5,-11.884727184189813,,
Wahlborn synthetic,16,8,neutron,0,1,1.5,-17.684108350791725,,
Wahlborn synthetic,16,8,neutron,0,2,2.5,-5.298458386419465,,
Wahlborn synthetic,16,8,proton,0,0,0.5,-26.3387990550995,,
Wahlborn synthetic,16,8,proton,1,0,0.5,-0.30646032849505245,,
Wahlborn synthetic,16,8,proton,0,1,0.5,-8.302651862341268,,
Wahlborn synthetic,16,8,proton,0,1,1.5,-14.081702965325476,,
Wahlborn synthetic,16,8,proton,0,2,2.5,-2.1911602067352227,,
Wahlborn synthetic,20,10,neutron,0,0,0.5,-32.655885414439076,,
Wahlborn synthetic,20,10,neutron,1,0,0.5,-5.457267356069558,,
Wahlborn synthetic,20,10,neutron,0,1,0.5,-15.676080065039864,,
Wahlborn synthetic,20,10,neutron,0,1,1.5,-20.664424915151322,,
Wahlborn synthetic,20,10,neutron,0,2,1.5,-0.6373013561190302,,
Wahlborn synthetic,20,10,neutron,0,2,2.5,-8.662193424504482,,
Wahlborn synthetic,20,10,proton,0,0,0.5,-27.764128629360673,,
Wahlborn synthetic,20,10,proton,1,0,0.5,-1.8201073968293011,,
Wahlborn synthetic,20,10,proton,0,1,0.5,-11.23259660471439,,
Wahlborn synthetic,20,10,proton,0,1,1.5,-16.23901497462111,,
Wahlborn synthetic,20,10,proton,0,2,2.5,-4.7285908714412335,,
Wahlborn synthetic,24,12,neutron,0,0,0.5,-34.39053824025989,,
Wahlborn synthetic,24,12,neutron,1,0,0.5,-7.809089984750056,,
Wahlborn synthetic,24,12,neutron,0,1,0.5,-18.70140178362617,,
Wahlborn synthetic,24,12,neutron,0,1,1.5,-23.037339791698912,,
Wahlborn synthetic,24,12,neutron,0,2,1.5,-3.8261064385588384,,
Wahlborn synthetic,24,12,neutron,0,2,2.5,-11.464266961711406,,
Wahlborn synthetic,24,12,neutron,0,3,3.5,-0.15620467002619642,,
Wahlborn synthetic,24,12,proton,0,0,0.5,-28.715756457982202,,
Wahlborn synthetic,24,12,proton,1,0,0.5,-3.3153165703692205,,
Wahlborn synthetic,24,12,proton,0,1,0.5,-13.470471658864332,,
Wahlborn synthetic,24,12,proton,0,1,1.5,-17.84880520050858,,
Wahlborn synthetic,24,12,proton,0,2,2.5,-6.771857196705929,,
Wahlborn synthetic,28,14,neutron,0,0,0.5,-35.76914882059103,,
Wahlborn synthetic,28,14,neutron,1,0,0.5,-9.948013087819763,,
Wahlborn synthetic,28,14,neutron,0,1,0.5,-21.173386035826685,,
Wahlborn synthetic,28,14,neutron,0,1,1.5,-24.984455842589732,,
Wahlborn synthetic,28,14,neutron,1,1,1.5,-0.9113329404516277,,
Wahlborn synthetic,28,14,neutron,0,2,1.5,-6.7440753911554845,,
Wahlborn synthetic,28,14,neutron,0,2,2.5,-13.834291458479509,,
Wahlborn synthetic,28,14,neutron,0,3,3.5,-2.686109007310573,,
Wahlborn synthetic,28,14,proton,0,0,0.5,-29.35935872987145,,
Wahlborn synthetic,28,14,proton,1,0,0.5,-4.669518437400733,,
Wahlborn synthetic,28,14,proton,0,1,0.5,-15.208943317299795,,
Wahlborn synthetic,28,14,proton,0,1,1.5,-19.079261550109937,,
Wahlborn synthetic,28,14,proton,0,2,1.5,-1.3951607974229288,,
Wahlborn synthetic,28,14,proton,0,2,2.5,-8.431949899722468,,
Wahlborn synthetic,32,16,neutron,0,0,0.5,-36.897013564354076,,
Wahlborn synthetic,32,16,neutron,1,0,0.5,-11.87361413174175,,
Wahlborn synthetic,32,16,neutron,0,1,0.5,-23.235047665317808,,
Wahlborn synthetic,32,16,neutron,1,1,0.5,-0.31689390707886333,,
Wahlborn synthetic,32,16,neutron,0,1,1.5,-26.619004918617037,,
Wahlborn synthetic,32,16,neutron,1,1,1.5,-2.290254400821221,,
Wahlborn synthetic,32,16,neutron,0,2,1.5,-9.32889870729769,,
Wahlborn synthetic,32,16,neutron,0,2,2.5,-15.869307660067214,,
Wahlborn synthetic,32,16,neutron,0,3,3.5,-4.960438646421732,,
Wahlborn synthetic,32,16,proton,0,0,0.5,-29.790622670112896,,
Wahlborn synthetic,32,16,proton,1,0,0.5,-5.86217912744267,,
Wahlborn synthetic,32,16,proton,0,1,0.5,-16.5789424314854,,
Wahlborn synthetic,32,16,proton,0,1,1.5,-20.034559640719795,,
Wahlborn synthetic,32,16,proton,0,2,1.5,-3.2431095142367834,,
Wahlborn synthetic,32,16,proton,0,2,2.5,-9.795456161891016,,
Wahlborn synthetic,40,20,neutron,0,0,0.5,-38.643654114341544,,
Wahlborn synthetic,40,20,neutron,1,0,0.5,-15.167660081289418,,
Wahlborn synthetic,40,20,neutron,0,1,0.5,-26.48963334002215,,
Wahlborn synthetic,40,20,neutron,1,1,0.5,-2.7706987684184554,,
Wahlborn synthetic,40,20,neutron,0,1,1.5,-29.227028221069027,,
Wahlborn synthetic,40,20,neutron,1,1,1.5,-5.154847077397203,,
Wahlborn synthetic,40,20,neutron,0,2,1.5,-13.626645886544768,,
Wahlborn synthetic,40,20,neutron,0,2,2.5,-19.197739736919107,,
Wahlborn synthetic,40,20,neutron,0,3,2.5,-0.5231894155805508,,
Wahlborn synthetic,40,20,neutron,0,3,3.5,-8.819189008666239,,
Wahlborn synthetic,40,20,proton,0,0,0.5,-30.2342506575499,,
Wahlborn synthetic,40,20,proton,1,0,0.5,-7.803519224338004,,
Wahlborn synthetic,40,20,proton,0,1,0.5,-18.54602669304069,,
Wahlborn synthetic,40,20,proton,0,1,1.5,-21.372271799539856,,
Wahlborn synthetic,40,20,proton,0,2,1.5,-6.211783622577177,,
Wahlborn synthetic,40,20,proton,0,2,2.5,-11.87029575704792,,
Wahlborn synthetic,40,20,proton,0,3,3.5,-2.0383584330906337,,
Wahlborn synthetic,48,20,neutron,0,0,0.5,-34.693091050911065,,
Wahlborn synthetic,48,20,neutron,1,0,0.5,-13.734614532414597,,
Wahlborn synthetic,48,20,neutron,0,1,0.5,-24.218740116864613,,
Wahlborn synthetic,48,20,neutron,1,1,0.5,-2.6357919479889222,,
Wahlborn synthetic,48,20,neutron,0,1,1.5,-26.314210553379514,,
Wahlborn synthetic,48,20,neutron,1,1,1.5,-4.561544291676375,,
Wahlborn synthetic,48,20,neutron,0,2,1.5,-12.9240023505837,,
Wahlborn synthetic,48,20,neutron,0,2,2.5,-17.287123223224977,,
Wahlborn synthetic,48,20,neutron,0,3,2.5,-1.215680669870718,,
Wahlborn synthetic,48,20,neutron,0,3,3.5,-7.881907149014837,,
Wahlborn synthetic,48,20,proton,0,0,0.5,-37.237588723622586,,
Wahlborn synthetic,48,20,proton,1,0,0.5,-14.922256192905984,,
Wahlborn synthetic,48,20,proton,0,1,0.5,-26.150227762350184,,
Wahlborn synthetic,48,20,proton,1,1,0.5,-2.05952613428495,,
Wahlborn synthetic,48,20,proton,0,1,1.5,-28.683800316733514,,
Wahlborn synthetic,48,20,proton,1,1,1.5,-4.764171149781884,,
Wahlborn synthetic,48,20,proton,0,2,1.5,-14.034587967405399,,
Wahlborn synthetic,48,20,proton,0,2,2.5,-19.358065546703514,,
Wahlborn synthetic,48,20,proton,0,3,2.5,-1.0782397771265768,,
Wahlborn synthetic,48,20,proton,0,3,3.5,-9.509673819692381,,
Wahlborn synthetic,56,28,neutron,0,0,0.5,-40.955520272333,,
Wahlborn synthetic,56,28,neutron,1,0,0.5,-20.119870141928143,,
Wahlborn synthetic,56,28,neutron,2,0,0.5,-0.8533847840823227,,
Wahlborn synthetic,56,28,neutron,0,1,0.5,-30.89775397316402,,
Wahlborn synthetic,56,28,neutron,1,1,0.5,-7.897490881729204,,
Wahlborn synthetic,56,28,neutron,0,1,1.5,-32.830807145224654,,
Wahlborn synthetic,56,28,neutron,1,1,1.5,-10.203998094704415,,
Wahlborn synthetic,56,28,neutron,0,2,1.5,-19.779810093933662,,
Wahlborn synthetic,56,28,neutron,0,2,2.5,-23.95633398383167,,
Wahlborn synthetic,56,28,neutron,1,2,2.5,-1.4588770249083505,,
Wahlborn synthetic,56,28,neutron,0,3,2.5,-7.736865142466658,,
Wahlborn synthetic,56,28,neutron,0,3,3.5,-14.559250242738544,,
Wahlborn synthetic,56,28,neutron,0,4,4.5,-4.836282310948441,,
Wahlborn synthetic,56,28,proton,0,0,0.5,-30.198146850025505,,
Wahlborn synthetic,56,28,proton,1,0,0.5,-10.353127277134007,,
Wahlborn synthetic,56,28,proton,0,1,0.5,-20.646415135662494,,
Wahlborn synthetic,56,28,proton,0,1,1.5,-22.688242628483064,,
Wahlborn synthetic,56,28,proton,1,1,1.5,-1.2683399485982858,,
Wahlborn synthetic,56,28,proton,0,2,1.5,-10.039577979892314,,
Wahlborn synthetic,56,28,proton,0,2,2.5,-14.375661705874643,,
Wahlborn synthetic,56,28,proton,0,3,3.5,-5.52767736864631,,
Wahlborn synthetic,40,18,neutron,0,0,0.5,-35.53535282425177,,
Wahlborn synthetic,40,18,neutron,1,0,0.5,-12.823141477985338,,
Wahlborn synthetic,40,18,neutron,0,1,0.5,-23.741530757559737,,
Wahlborn synthetic,40,18,neutron,1,1,0.5,-1.4322980250167818,,
Wahlborn synthetic,40,18,neutron,0,1,1.5,-26.341541835718132,,
Wahlborn synthetic,40,18,neutron,1,1,1.5,-3.4326820077934954,,
Wahlborn synthetic,40,18,neutron,0,2,1.5,-11.323420549724693,,
Wahlborn synthetic,40,18,neutron,0,2,2.5,-16.56793362161728,,
Wahlborn synthetic,40,18,neutron,0,3,3.5,-6.504578414753175,,
Wahlborn synthetic,40,18,proton,0,0,0.5,-34.21403901562871,,
Wahlborn synthetic,40,18,proton,1,0,0.5,-10.898199928899896,,
Wahlborn synthetic,40,18,proton,0,1,0.5,-22.114275561951192,,
Wahlborn synthetic,40,18,proton,0,1,1.5,-25.06781797248235,,
Wahlborn synthetic,40,18,proton,1,1,1.5,-1.1213247077977808,,
Wahlborn synthetic,40,18,proton,0,2,1.5,-9.273425610125717,,
Wahlborn synthetic,40,18,proton,0,2,2.5,-15.25356320350876,,
Wahlborn synthetic,40,18,proton,0,3,3.5,-5.047324548828937,,
Wahlborn synthetic,48,22,neutron,0,0,0.5,-37.313740747140656,,
Wahlborn synthetic,48,22,neutron,1,0,0.5,-15.779152300116564,,
Wahlborn synthetic,48,22,neutron,0,1,0.5,-26.576641955929034,,
Wahlborn synthetic,48,22,neutron,1,1,0.5,-3.9677183999067154,,
Wahlborn synthetic,48,22,neutron,0,1,1.5,-28.76368481128946,,
Wahlborn synthetic,48,22,neutron,1,1,1.5,-6.144246135362022,,
Wahlborn synthetic,48,22,neutron,0,2,1.5,-14.956148387070666,,
Wahlborn synthetic,48,22,neutron,0,2,2.5,-19.53910871284725,,
Wahlborn synthetic,48,22,neutron,0,3,2.5,-2.761706643647559,,
Wahlborn synthetic,48,22,neutron,0,3,3.5,-9.893754762830659,,
Wahlborn synthetic,48,22,neutron,0,4,4.5,-0.12030694613210444,,
Wahlborn synthetic,48,22,proton,0,0,0.5,-33.773984231490616,,
Wahlborn synthetic,48,22,proton,1,0,0.5,-12.063943762336367,,
Wahlborn synthetic,48,22,proton,0,1,0.5,-22.9719830862255,,
Wahlborn synthetic,48,22,proton,0,1,1.5,-25.42825982006611,,
